,0,1,2,3,4
108,2753,이모네 갈 거예요 이모부 생신이래요,8,여,가족 생일
109,2787,저는 동생이 가끔 미울 때가 있어요,8,여,가족 소개하기
110,2791,여름 방학 때 울산 이모집에 놀러갈 거에요,8,여,가족 소개하기
111,2799,제 동생은 제 말을 잘 안 들어요,8,여,가족 소개하기
112,2801,우리 아빠는 키가 커요,8,여,가족 소개하기
113,2805,아빠는 주말에 저랑 잘 놀아주세요,8,여,가족 소개하기
114,2806,엄마가 티비 봐도 된데 진짜,8,여,가정
115,2808,우리 할머니는 요리를 잘 하세요,8,여,가족 소개하기
116,2816,삼촌 방에 가면 컴퓨터 큰 게 있어요,8,여,가족 소개하기
117,2821,할머니는 흰머리가 많아요,8,여,가족 소개하기
118,2824,저는 할머니 외할아버지랑 같이 살아요,8,여,가족 소개하기
119,2833,삼촌은 내가 말하는 거 다 만들어 줘요,8,여,가족 소개하기
120,2836,저는 남동생이 한 명 있어요,8,여,가족 소개하기
121,2839,우리 집에는 이모가 주신 고양이가 두 마리 있어요,8,여,가족 소개하기
122,2850,할머니는 흰머리가 많으셔서 염색을 해요,8,여,가족 소개하기
123,2856,고모랑 주말마다 레고하는 게 너무 재미있어요,8,여,가족 소개하기
124,2858,시끄럽게 떠들고 얄미워,8,여,가족에 대해 말하기
125,2863,우리집은 고양이를 키워요,8,여,가족 소개하기
126,2864,엄마는 저한테 항상 양보하라고 하고 동생 편만 들어요,8,여,가족 소개하기
127,2871,조립하기 어려운 레고도 고모가 척척 만들어 주세요,8,여,가족 소개하기
128,2875,삼촌은 기타를 잘 쳐요,8,여,가족 소개하기
129,2876,엄마가 밥 먹으래 빨리 나와,8,여,가정
130,2881,나 숙제해야 돼 방해하지 마,8,여,가정
131,2885,동생이 생기면 잘해 줄 거예요,8,여,가족 소개하기
132,2892,엄마는 게임하는 걸 싫어하는데 이모 집에 가면 게임을 실컷 할 수 있어요,8,여,가족 소개하기
133,2893,저는 엄마가 제일 좋아요,8,여,가족 소개하기
134,2896,우리 삼촌은 베트남에 있어,8,여,가족에 대해 말하기
135,2899,저는 엄마도 좋고 아빠도 좋아요,8,여,가족 소개하기
136,2908,삼촌이 오시면 제 방에서 같이 게임해요,8,여,가족 소개하기
137,2913,우리 엄마가 세상에서 제일 예뻐요,8,여,가족 소개하기
138,2919,저희는 말티즈 한 마리를 키워요,8,여,가족 소개하기
139,2925,나는 여동생이 있어,8,여,가족에 대해 말하기
140,2927,할머니네 집 근처에 바다가 있어서 자주 놀러가요,8,여,가족 소개하기
141,2934,아빠 회사 명동에 있는데 주말에 놀러간 적이 있어요,8,여,가족 소개하기
142,2937,우리 할머니는 시골에 사셔,8,여,가족에 대해 말하기
143,2938,엄마가 학교에 데릴러 오실 때가 너무 기달려져요,8,여,가족 소개하기
144,2949,저는 동생한테 재미있는 동화책을 자주 읽어줘요,8,여,가족 소개하기
145,2950,우리 이모는 미국에 살아,8,여,가족에 대해 말하기
146,2954,밥 먹고 하래 이거 다 정리해,8,여,가정
147,2959,엄마 뱃속에 동생이 있어요 다음 달에 동생이 태어나요,8,여,가족 소개하기
148,2962,할아버지는 머리가 하얘요,8,여,가족 소개하기
149,2964,우리 가족은 네 명이에요,8,여,가족 소개하기
150,2969,내동생은 유치원 다녀요,8,여,가족 소개하기
151,2971,우리 엄마는 선생님이야,8,여,가족에 대해 말하기
152,2974,우리 가족은 네 명이야,8,여,가족에 대해 말하기
153,2981,맨날 내 말 따라하고 공부하는데 방해해,8,여,가족에 대해 말하기
154,2982,할아버지는 책을 보실 때 돋보기를 써요,8,여,가족 소개하기
155,2986,고모랑 게임하는 게 재밌어요,8,여,가족 소개하기
156,2994,제 동생은 제 물건 자꾸 가져가요,8,여,가족 소개하기
157,2998,우리 가족은 엄마 아빠 나 세 명이요,8,여,가족 소개하기
158,3005,저랑 제 동생은 세 살 차이가 나요,8,여,가족 소개하기
159,3006,저랑 제 동생은 쌍둥이에요,8,여,가족 소개하기
160,3011,할머니 집에 놀러갈 때마다 제가 좋아하는 음식 많이 만들어 주세요,8,여,가족 소개하기
161,3014,나도 할래 나도 해보고 싶어,8,여,가정
162,3023,놀이터 갈래 엄마한테 물어봐,8,여,가정
163,3025,저는 여동생이 두 명 있어요,8,여,가족 소개하기
164,3026,내 동생은 맨날 귀찮게 졸졸 쫓아 다녀,8,여,가족에 대해 말하기
165,3035,이모는 중학교 영어 선생님이에요,8,여,가족 소개하기
166,3040,고모가 열살 생일 선물로 제가 제일 갖고 싶어하던 레고를 사주셨어요,8,여,가족 소개하기
167,3042,이거 내 거잖아 만지지 마,8,여,가정
168,3048,너 지금 나 때렸냐 엄마한테 이를 거야,8,여,가정
169,3049,우리 아빠는 회사원이에요,8,여,가족 소개하기
170,3050,할아버지랑 문구점 같이 가기로 약속했어요,8,여,가족 소개하기
171,3054,나 이거 볼 거야 조용히 해,8,여,가정
172,3057,저희는 할머니랑 같이 살아요,8,여,가족 소개하기
173,3060,저도 아빠를 닮아서 그런지 키가 커요,8,여,가족 소개하기
174,3075,할아버지는 흰머리가 많으시고 눈이 나쁘셔서 안경을 써요,8,여,가족 소개하기
175,3085,이 책 다 봤어 이제 내가 봐도 돼,8,여,가정
176,3091,나 지금 숙제하고 있잖아,8,여,가정
177,3093,우리 집 강아지가 두 마리 있어요,8,여,가족 소개하기
178,3101,삼촌이 이번 주말에 숙모가 되실 분과 같이 오신다고 하셨어요,8,여,가족 소개하기
179,3102,나도 몰라 엄마한테 물어 봐,8,여,가정
180,3115,맛있어 나도 한 입만,8,여,가정
181,3117,나는 주말에 아빠랑 캐치볼을 해,8,여,가족에 대해 말하기
182,3123,나도 보여줘 한번만 해 보자,8,여,가정
183,3124,너 숙제 다했어 게임해도 돼,8,여,가정
184,3126,삼촌이랑 레고 만드는 게 좋아요,8,여,가족 소개하기
185,3130,우리 아빠는 은행에서 일해,8,여,가족에 대해 말하기
186,3131,이모 집에 가면 제가 좋아하는 사촌들과 놀 수 있어서 벌써 부터 기대가 돼요,8,여,가족 소개하기
187,3133,삼촌은 나이가 서른 살이 넘었는데 결혼은 하지 않았어요,8,여,가족 소개하기
188,3140,한 달에 한 번 수원 할머니네 집에 가요,8,여,가족 소개하기
189,3141,이모는 저랑 잘 놀아 줘요,8,여,가족 소개하기
190,3227,이거 내 거잖아 만지지 마,8,여,가정
191,3228,삼촌은 기타를 잘 쳐요,8,여,가족 소개하기
192,3229,나 이거 볼 거야 조용히 해,8,여,가정
193,3234,이 책 다 봤어 이제 내가 봐도 돼,8,여,가정
194,3235,저랑 제 동생은 세 살 차이가 나요,8,여,가족 소개하기
195,3239,제 동생은 제 물건을 자꾸 가져가요,8,여,가족 소개하기
196,3242,너 숙제 다했어 게임해도 돼,8,여,가정
197,3249,할아버지는 머리가 하얘요,8,여,가족 소개하기
198,3250,저랑 제 동생은 쌍둥이에요,8,여,가족 소개하기
199,3251,삼촌은 나이가 서른 살이 넘었는데 결혼은 하지 않았어요,8,여,가족 소개하기
200,3254,밥 먹고 하래 이거 다 정리해,8,여,가정
201,3260,삼촌이 오시면 제 방에서 같이 게임해요,8,여,가족 소개하기
202,3263,나도 보여줘 한번만 해 보자,8,여,가정
203,3266,나 지금 숙제하고 있잖아,8,여,가정
204,3268,다음 주에 할아버지 생신이래요,8,여,가족 생일
205,3276,저도 아빠 닮아서 그런지 키가 커요,8,여,가족 소개하기
206,3282,어제 할머니 생신이셔서 파티했어요,8,여,가족 생일
207,3283,엄마 뱃속에 동생이 있어요 다음 달에 동생이 태어나요,8,여,가족 소개하기
208,3298,나도 할래 나도 해보고 싶어,8,여,가정
209,3300,우리 가족은 네 명이에요,8,여,가족 소개하기
210,3307,내 동생은 겨울에 태어났어요,8,여,가족 생일
211,3315,할머니 집에 놀러갈 때마다 제가 좋아하는 음식을 많이 만들어 주세요,8,여,가족 소개하기
212,3323,우리 아빠는 키가 커요,8,여,가족 소개하기
213,3324,삼촌이 이번 주말에 숙모가 되실 분과 같이 오신다고 하셨어요,8,여,가족 소개하기
214,3327,할아버지는 흰머리가 많으시고 눈이 나쁘셔서 안경을 써요,8,여,가족 소개하기
215,3336,제 생일은 시 월이에요,8,여,가족 생일
216,3341,내일 내 동생 생일이에요,8,여,가족 생일
217,3344,이모네 갈 거예요 이모부 생신이래요,8,여,가족 생일
218,3355,우리 가족은 엄마 아빠 나 세 명이요,8,여,가족 소개하기
219,3364,우리 집에 강아지가 두 마리 있어요,8,여,가족 소개하기
220,3381,엄마가 밥 먹으래 빨리 나와,8,여,가정
221,3388,저희는 할머니랑 같이 살아요,8,여,가족 소개하기
222,3395,할머니네 집 근처에 바다가 있어서 자주 놀러가요,8,여,가족 소개하기
223,3398,할아버지랑 문구점 같이 가기로 약속했어요,8,여,가족 소개하기
224,3401,삼초랑 레고 만드는 게 좋아요,8,여,가족 소개하기
225,3403,이모 생일이어서 케이크 샀어요,8,여,가족 생일
226,3406,우리 할머니는 요리를 잘 하세요,8,여,가족 소개하기
227,3407,나도 몰라 엄마한테 물어 봐,8,여,가정
228,3419,저는 동생한테 재미있는 동화책을 자주 읽어줘요,8,여,가족 소개하기
229,3420,삼촌 방에 가면 컴퓨터가 큰 게 있어요,8,여,가족 소개하기
230,3427,아빠 회사가 명동에 있는데 주말에 놀러간 적이 있어요,8,여,가족 소개하기
231,3428,할머니는 흰머리가 많으셔서 염색을 해요,8,여,가족 소개하기
232,3432,여름 방학 때 울산 이모집에 놀러갈 거에요,8,여,가족 소개하기
233,3442,저희는 말티즈 한 마리를 키워요,8,여,가족 소개하기
234,3445,우리 엄마가 세상에서 제일 예뻐요,8,여,가족 소개하기
235,3448,우리 집에는 이모가 주신 고양이가 두 마리 있어요,8,여,가족 소개하기
236,3457,우리집은 고양이를 키워요,8,여,가족 소개하기
237,3458,엄마는 게임하는 걸 싫어하는데 이모 집에 가면 게임을 실컷 할 수 있어요,8,여,가족 소개하기
238,3461,저는 엄마가 제일 좋아요,8,여,가족 소개하기
239,3466,저는 남동생이 한 명 있어요,8,여,가족 소개하기
240,3470,너 지금 나 때렸냐 엄마한테 이를 거야,8,여,가정
241,3482,할머니는 흰머리가 많아요,8,여,가족 소개하기
242,3484,이모는 저랑 잘 놀아 줘요,8,여,가족 소개하기
243,3490,엄마 생일에 맛있는 거 먹으러 갈래요,8,여,가족 생일
244,3495,저는 동생이 가끔 미울 때가 있어요,8,여,가족 소개하기
245,3501,제 동생은 제 말을 잘 안 들어요,8,여,가족 소개하기
246,3510,저는 엄마도 좋고 아빠도 좋아요,8,여,가족 소개하기
247,3512,맛있어 나도 한 입만,8,여,가정
248,3522,아빠 생일이어서 생일카드 썼어요,8,여,가족 생일
249,3524,동생이 생기면 잘해 줄 거예요,8,여,가족 소개하기
250,3533,고모랑 주말마다 레고하는 게 너무 재미있어요,8,여,가족 소개하기
251,3536,어제가 우리 아빠 생일이었어요,8,여,가족 생일
252,3545,이모는 중학교 영어 선생님이에요,8,여,가족 소개하기
253,3553,삼촌은 내가 말하는 거 다 만들어 줘요,8,여,가족 소개하기
254,3578,내동생은 유치원 다녀요,8,여,가족 소개하기
255,3580,한 달에 한 번 수원 할머니네 집에 가요,8,여,가족 소개하기
256,3581,고모가 열 살 생일 선물로 제가 제일 갖고 싶었던 레고를 사주셨어요,8,여,가족 소개하기
257,3582,엄마가 티비 봐도 된데 진짜,8,여,가정
258,3590,고모랑 게임하는 게 재미있어요,8,여,가족 소개하기
259,3604,그저께 할아버지 생신 파티했어요,8,여,가족 생일
260,3605,오늘은 우리 엄마 생일이에요,8,여,가족 생일
261,3609,이모 집에 가면 제가 좋아하는 사촌들과 놀 수 있어서 벌써 부터 기대되요,8,여,가족 소개하기
262,3613,저는 여동생이 두 명 있어요,8,여,가족 소개하기
263,3616,우리 아빠는 회사원이에요,8,여,가족 소개하기
264,3620,할아버지는 책을 보실 때 돋보기를 써요,8,여,가족 소개하기
265,3626,할머니 생신은 다음 달이래요,8,여,가족 생일
266,3643,아빠는 주말에 저랑 잘 놀아주세요,8,여,가족 소개하기
267,3648,이번주 토요일은 아빠 생일이에요,8,여,가족 생일
268,3655,엄마가 학교에 데리러 오실 때가 너무 기다려져요,8,여,가족 소개하기
269,3659,조립하기 어려운 레고도 고모가 척척 만들어 주세요,8,여,가족 소개하기
270,3660,나 숙제해야 해 방해하지 마,8,여,가정
271,3667,엄마는 저한테 항상 양보하라고 하고 동생 편만 들어요,8,여,가족 소개하기
272,3669,저는 할머니 외할아버지랑 같이 살아요,8,여,가족 소개하기
273,3670,놀이터 갈래 엄마한테 물어봐,8,여,가정
274,3691,맨날 내 말 따라하고 공부하는데 방해해,8,여,가족에 대해 말하기
275,3715,나는 주말에 아빠랑 캐치볼을 해,8,여,가족에 대해 말하기
276,3718,우리 이모는 미국 살아,8,여,가족에 대해 말하기
277,3719,우리 아빠는 은행에서 일해,8,여,가족에 대해 말하기
278,3726,우리 가족은 네 명이야,8,여,가족에 대해 말하기
279,3750,우리 엄마는 선생님이야,8,여,가족에 대해 말하기
280,3759,우리 할머니는 시골에 사셔,8,여,가족에 대해 말하기
281,3767,우리 삼촌은 베트남에 있어,8,여,가족에 대해 말하기
282,3770,내 동생은 맨날 귀찮게 졸졸 쫓아 다녀,8,여,가족에 대해 말하기
283,3773,나는 여동생이 있어,8,여,가족에 대해 말하기
284,3774,시끄럽게 떠들고 얄미워,8,여,가족에 대해 말하기
285,4305,할머니는 흰머리가 많으셔서 염색을 해요,10,여,가족 소개하기
286,4309,삼촌이 이번 주말에 숙모가 되실 분과 같이 오신다고 하셨어요,10,여,가족 소개하기
287,4316,놀이터 갈래 엄마한테 물어봐,10,여,가정
288,4317,엄마는 저한테 항상 양보하라고 하고 동생 편만 들어요,10,여,가족 소개하기
289,4321,나 지금 숙제하고 있잖아,10,여,가정
290,4323,우리 할머니는 요리를 잘 하세요,10,여,가족 소개하기
291,4325,다음 주에 할아버지 생신이래요,10,여,가족 생일
292,4329,고모랑 주말마다 레고하는 게 너무 재미있어요,10,여,가족 소개하기
293,4333,이 책 다 봤어 이제 내가 봐도 돼,10,여,가정
294,4335,삼촌은 내가 말하는 거 다 만들어 줘요,10,여,가족 소개하기
295,4336,저희는 할머니랑 같이 살아요,10,여,가족 소개하기
296,4345,저랑 제 동생은 쌍둥이에요,10,여,가족 소개하기
297,4352,이모는 중학교 영어 선생님이에요,10,여,가족 소개하기
298,4357,제 생일은 시 월이에요,10,여,가족 생일
299,4381,이모네 갈 거예요 이모부 생신이래요,10,여,가족 생일
300,4384,엄마가 학교에 데리러 오실 때가 너무 기다려져요,10,여,가족 소개하기
301,4386,저랑 제 동생은 세 살 차이가 나요,10,여,가족 소개하기
302,4392,엄마 뱃속에 동생이 있어요 다음 달에 동생이 태어나요,10,여,가족 소개하기
303,4397,제 동생은 제 말을 잘 안 들어요,10,여,가족 소개하기
304,4405,삼촌은 기타를 잘 쳐요,10,여,가족 소개하기
305,4407,저는 동생이 가끔 미울 때가 있어요,10,여,가족 소개하기
306,4411,우리 아빠는 회사원이에요,10,여,가족 소개하기
307,4412,저는 엄마도 좋고 아빠도 좋아요,10,여,가족 소개하기
308,4414,내일 내 동생 생일이에요,10,여,가족 생일
309,4416,할머니 생신은 다음 달이래요,10,여,가족 생일
310,4417,우리 엄마가 세상에서 제일 예뻐요,10,여,가족 소개하기
311,4421,이모는 저랑 잘 놀아 줘요,10,여,가족 소개하기
312,4422,우리 가족은 네 명이에요,10,여,가족 소개하기
313,4423,엄마가 밥 먹으래 빨리 나와,10,여,가정
314,4425,내동생은 유치원 다녀요,10,여,가족 소개하기
315,4426,나도 보여줘 한 번만 해 보자,10,여,가정
316,4437,할머니네 집 근처에 바다가 있어서 자주 놀러가요,10,여,가족 소개하기
317,4452,아빠 생일이어서 생일카드 썼어요,10,여,가족 생일
318,4458,할아버지는 흰머리가 많으시고 눈이 나쁘셔서 안경을 써요,10,여,가족 소개하기
319,4459,우리 집에 강아지가 두 마리 있어요,10,여,가족 소개하기
320,4460,아빠 회사가 명동에 있는데 주말에 놀러간 적이 있어요,10,여,가족 소개하기
321,4464,밥 먹고 하래 이거 다 정리해,10,여,가정
322,4470,내 동생은 겨울에 태어났어요,10,여,가족 생일
323,4473,조립하기 어려운 레고도 고모가 척척 만들어 주세요,10,여,가족 소개하기
324,4480,너 숙제 다했어 게임해도 돼,10,여,가정
325,4488,아빠는 주말에 저랑 잘 놀아주세요,10,여,가족 소개하기
326,4493,나 이거 볼 거야 조용히 해,10,여,가정
327,4505,할머니 집에 놀러갈 때마다 제가 좋아하는 음식을 많이 만들어 주세요,10,여,가족 소개하기
328,4507,저도 아빠 닮아서 그런지 키가 커요,10,여,가족 소개하기
329,4509,여름 방학 때 울산 이모집에 놀러갈 거에요,10,여,가족 소개하기
330,4512,나 숙제해야 해 방해하지 마,10,여,가정
331,4513,맛있어 나도 한 입만,10,여,가정
332,4514,삼촌 방에 가면 컴퓨터가 큰 게 있어요,10,여,가족 소개하기
333,4527,고모가 열 살 생일 선물로 제가 제일 갖고 싶었던 레고를 사주셨어요,10,여,가족 소개하기
334,4540,우리 집에는 이모가 주신 고양이가 두 마리 있어요,10,여,가족 소개하기
335,4541,이모 집에 가면 제가 좋아하는 사촌들과 놀 수 있어서 벌써 부터 기대되요,10,여,가족 소개하기
336,4542,저는 엄마가 제일 좋아요,10,여,가족 소개하기
337,4550,저는 여동생이 두 명 있어요,10,여,가족 소개하기
338,4560,고모랑 게임하는 게 재밌어요,10,여,가족 소개하기
339,4562,어제가 우리 아빠 생일이었어요,10,여,가족 생일
340,4564,엄마 생일에 맛있는 거 먹으러 갈 거래요,10,여,가족 생일
341,4572,나도 몰라 엄마한테 물어 봐,10,여,가정
342,4581,제 동생은 제 물건을 자꾸 가져가요,10,여,가족 소개하기
343,4586,우리 가족은 엄마 아빠 나 세 명이요,10,여,가족 소개하기
344,4591,저희는 말티즈 한 마리를 키워요,10,여,가족 소개하기
345,4600,이번주 토요일은 아빠 생일이에요,10,여,가족 생일
346,4611,이모 생일이어서 케이크 샀어요,10,여,가족 생일
347,4619,저는 동생한테 재미있는 동화책을 자주 읽어줘요,10,여,가족 소개하기
348,4633,그저께 할아버지 생신 파티했어요,10,여,가족 생일
349,4642,우리집은 고양이를 키워요,10,여,가족 소개하기
350,4643,할머니는 흰머리가 많아요,10,여,가족 소개하기
351,4645,할아버지는 책을 보실 때 돋보기를 써요,10,여,가족 소개하기
352,4649,엄마가 티비 봐도 된데 진짜,10,여,가정
353,4658,한 달에 한 번 수원 할머니네 집에 가요,10,여,가족 소개하기
354,4668,이거 내 거잖아 만지지 마,10,여,가정
355,4669,저는 할머니 외할아버지랑 같이 살아요,10,여,가족 소개하기
356,4674,나도 할래 나도 해보고 싶어,10,여,가정
357,4676,할아버지랑 문구점 같이 가기로 약속했어요,10,여,가족 소개하기
358,4681,엄마는 게임하는 걸 싫어하는데 이모 집에 가면 게임을 실컷 할 수 있어요,10,여,가족 소개하기
359,4683,삼촌이 오시면 제 방에서 같이 게임해요,10,여,가족 소개하기
360,4689,할아버지는 머리가 하얘요,10,여,가족 소개하기
361,4696,너 지금 나 때렸냐 엄마한테 이를 거야,10,여,가정
362,4700,삼촌은 나이가 서른 살이 넘었는데 결혼은 하지 않았어요,10,여,가족 소개하기
363,4708,어제 할머니 생신이셔서 파티했어요,10,여,가족 생일
364,4712,저는 남동생이 한 명 있어요,10,여,가족 소개하기
365,4715,삼촌이랑 레고 만드는 게 좋아요,10,여,가족 소개하기
366,4716,우리 아빠는 키가 커요,10,여,가족 소개하기
367,4727,동생이 생기면 잘해 줄 거예요,10,여,가족 소개하기
368,4736,오늘은 우리 엄마 생일이에요,10,여,가족 생일
369,4742,우리 아빠는 은행에서 일해,10,여,가족에 대해 말하기
